Campaign_Name,City,Industry,Date,revenue,ad_spend,Impressions,Clicks,Screen_ID,Hours_Booked,Hours_Committed
Brand Recall Drive,Pune,Finance,2026-06-22,29721.13,23817.75,15646,243,SCR-005,5.6,12
City Expansion Campaign,Delhi,Finance,2026-06-22,46666.13,23886.38,37729,937,SCR-003,11.2,12
Weekend Footfall Booster,Mumbai,Finance,2026-06-23,18162.85,23933.47,48347,1272,SCR-002,8.6,10
Festive Season Push,Pune,Retail,2026-06-23,42493.13,22837.32,52936,1307,SCR-006,4.8,6
Summer Sale Blitz,Chennai,Retail,2026-06-23,41783.97,17068.84,51435,950,SCR-008,4.9,6
Festive Season Push,Pune,Retail,2026-06-23,34400.51,15900.43,58145,1870,SCR-004,6.3,8
City Expansion Campaign,Mumbai,Automotive,2026-06-23,31813.53,14884.74,17482,865,SCR-001,4.5,6
New Launch Awareness,Pune,Real Estate,2026-06-24,8203.21,8838.09,29218,310,SCR-004,11.2,12
Brand Recall Drive,Chennai,Automotive,2026-06-24,14222.86,12944.12,41635,1405,SCR-008,5.9,6
Weekend Footfall Booster,Pune,Finance,2026-06-24,6776.93,4338.16,50161,2435,SCR-005,9.3,12
Weekend Footfall Booster,Chennai,Retail,2026-06-24,5807.02,6263.34,13294,304,SCR-008,9.0,10
Brand Recall Drive,Mumbai,Retail,2026-06-25,40729.8,21761.44,59976,2283,SCR-007,7.8,8
Brand Recall Drive,Pune,Finance,2026-06-25,7475.79,5091.89,34131,909,SCR-006,7.9,10
Brand Recall Drive,Mumbai,Retail,2026-06-25,10401.72,5124.42,13594,186,SCR-002,7.2,8
City Expansion Campaign,Pune,Retail,2026-06-25,36165.88,17637.49,34922,843,SCR-006,5.4,6
New Launch Awareness,Mumbai,Real Estate,2026-06-25,19256.54,17448.2,41253,763,SCR-002,5.3,6
New Launch Awareness,Pune,Finance,2026-06-26,37902.8,21005.39,44763,2192,SCR-004,5.5,6
Weekend Footfall Booster,Pune,Retail,2026-06-26,46639.93,19773.01,19823,414,SCR-005,6.6,10
City Expansion Campaign,Mumbai,Retail,2026-06-26,21092.55,24379.83,17297,685,SCR-007,6.9,8
Festive Season Push,Pune,Automotive,2026-06-26,42044.34,23710.96,55290,1270,SCR-006,5.6,6
Weekend Footfall Booster,Mumbai,Automotive,2026-06-27,20467.72,13684.56,37039,1351,SCR-002,8.8,10
New Launch Awareness,Mumbai,Retail,2026-06-27,26456.4,16048.95,26562,986,SCR-007,5.2,10
City Expansion Campaign,Mumbai,Retail,2026-06-27,7242.02,7647.15,21397,471,SCR-001,7.8,10
Brand Recall Drive,Mumbai,FMCG,2026-06-27,29577.96,18480.77,16466,415,SCR-007,6.6,10
Brand Recall Drive,Mumbai,Finance,2026-06-28,27136.6,15666.7,13102,582,SCR-001,10.2,12
New Launch Awareness,Delhi,Real Estate,2026-06-28,19950.3,23234.93,38152,1651,SCR-003,5.4,6
City Expansion Campaign,Mumbai,Finance,2026-06-28,16555.63,7874.59,28334,1128,SCR-002,4.7,6
City Expansion Campaign,Pune,Automotive,2026-06-28,45544.96,21016.87,31009,1212,SCR-004,3.8,8
City Expansion Campaign,Delhi,Retail,2026-06-29,25812.77,16814.87,19609,942,SCR-003,11.6,12
Weekend Footfall Booster,Pune,Automotive,2026-06-29,24455.22,13316.26,17893,493,SCR-006,8.4,10
Summer Sale Blitz,Pune,Finance,2026-06-29,13520.68,11112.23,37616,432,SCR-005,5.3,6
Brand Recall Drive,Mumbai,Finance,2026-06-29,15675.84,10073.59,45464,1640,SCR-001,6.9,8
Weekend Footfall Booster,Mumbai,Real Estate,2026-06-30,12573.84,8450.36,50344,850,SCR-002,10.8,12
New Launch Awareness,Pune,Automotive,2026-06-30,18550.72,10444.08,33389,879,SCR-006,4.3,10
Weekend Footfall Booster,Mumbai,Automotive,2026-06-30,40670.19,17444.41,24514,954,SCR-007,7.2,8
Festive Season Push,Pune,Automotive,2026-06-30,20585.34,11623.08,50995,1934,SCR-006,5.1,6
New Launch Awareness,Delhi,Real Estate,2026-06-30,16641.06,12314.94,14124,506,SCR-003,9.9,10
